Discipline,English Title,Tamil Title
Humanities - Arts - Visual Arts,Art,ஓவியம்
,Architecture ,கட்டிடக்கலை
,Sculpture,சிற்பக்கலை
,Photography,ஒளிப்படவியல்
Humanities - Arts - Preformance Arts,Drama,நாடகம்
,Music,இசை
,Dance,நடனம்
,Film,திரைப்படம்
Humanities - Arts - Language & Literature,Language,மொழி
,Literature,இலக்கியம்
Humanities,History,வரலாறு
,Law,சட்டம்
,Philosophy,மெய்யியல்
,Religion,சமயம்
Social Sciences,Anthropology,மானிடவியல்
,Archaeology,தொல்லியல்
,Economics,பொருளியல்
,Political science,அரசியல்
,Psychology,உளவியல்
,Sociology,சமூகவியல்
Sciences,Biology,உயிரியல்
,Chemistry,வேதியியல்
,Geography,புவியியல்
,Earth Sciences,புவி அறிவியல்
,Astronomy,வானியல்
,Physics,இயற்பியல்
Formal Sciences,Computer Science,கணினியியல்
,Mathematics,கணிதம்
,Statistics,புள்ளியியல்
Applied Sciences,Business,வணிகவியல்
,Technology,தொழினுட்பம்
,Medicine and Health,நலம்
,Library Science,நூலகவியல்
,Journalism,ஊடகவியல்
,Education,கல்வி
,Military_science,போரியல்
,Society,சமூகம்
,Culture,பண்பாடு

